Epoch #,Start Time,End Time,Score #, Score
373,06/08/2021 11:12:34,06/08/2021 11:12:37,1,Wake
374,06/08/2021 11:12:37,06/08/2021 11:12:40,2,Non REM
375,06/08/2021 11:12:40,06/08/2021 11:12:43,2,Non REM
376,06/08/2021 11:12:43,06/08/2021 11:12:46,2,Non REM
377,06/08/2021 11:12:46,06/08/2021 11:12:49,2,Non REM
378,06/08/2021 11:12:49,06/08/2021 11:12:52,1,Wake
379,06/08/2021 11:12:52,06/08/2021 11:12:55,1,Wake
380,06/08/2021 11:12:55,06/08/2021 11:12:58,1,Wake
381,06/08/2021 11:12:58,06/08/2021 11:13:01,1,Wake
382,06/08/2021 11:13:01,06/08/2021 11:13:04,2,Non REM
383,06/08/2021 11:13:04,06/08/2021 11:13:07,2,Non REM
384,06/08/2021 11:13:07,06/08/2021 11:13:10,2,Non REM
385,06/08/2021 11:13:10,06/08/2021 11:13:13,2,Non REM
386,06/08/2021 11:13:13,06/08/2021 11:13:16,2,Non REM
387,06/08/2021 11:13:16,06/08/2021 11:13:19,1,Wake
388,06/08/2021 11:13:19,06/08/2021 11:13:22,1,Wake
389,06/08/2021 11:13:22,06/08/2021 11:13:25,1,Wake
390,06/08/2021 11:13:25,06/08/2021 11:13:28,2,Non REM
391,06/08/2021 11:13:28,06/08/2021 11:13:31,2,Non REM
392,06/08/2021 11:13:31,06/08/2021 11:13:34,2,Non REM
393,06/08/2021 11:13:34,06/08/2021 11:13:37,1,Wake
394,06/08/2021 11:13:37,06/08/2021 11:13:40,1,Wake
395,06/08/2021 11:13:40,06/08/2021 11:13:43,1,Wake
396,06/08/2021 11:13:43,06/08/2021 11:13:46,1,Wake
397,06/08/2021 11:13:46,06/08/2021 11:13:49,1,Wake
398,06/08/2021 11:13:49,06/08/2021 11:13:52,2,Non REM
399,06/08/2021 11:13:52,06/08/2021 11:13:55,2,Non REM
